segment,timestamp_sec,face_count,head_count,head_up_rate
head_detect_seg003,116.1,11,20,0.5000
head_detect_seg004,0.0,12,19,0.5789
head_detect_seg004,1.0,11,24,0.4583
head_detect_seg004,2.0,12,22,0.5000
head_detect_seg004,3.0,9,24,0.3750
head_detect_seg004,4.0,6,25,0.2400
head_detect_seg004,5.0,9,24,0.3750
head_detect_seg004,6.0,11,27,0.3704
head_detect_seg004,7.0,12,23,0.5217
head_detect_seg004,8.0,13,26,0.4615
head_detect_seg004,9.0,12,22,0.5000
head_detect_seg004,10.0,13,23,0.5217
head_detect_seg004,11.0,13,22,0.5909
head_detect_seg004,12.0,11,24,0.4583
head_detect_seg004,13.0,11,24,0.4583
head_detect_seg004,14.0,13,25,0.4400
head_detect_seg004,15.0,13,24,0.5000
head_detect_seg004,16.0,11,25,0.4000
head_detect_seg004,17.0,17,23,0.6087
head_detect_seg004,18.0,14,24,0.5417
head_detect_seg004,19.0,13,24,0.5000
head_detect_seg004,20.0,13,23,0.5217
head_detect_seg004,21.0,12,25,0.4000
head_detect_seg004,22.0,9,23,0.3478
head_detect_seg004,23.0,12,24,0.4583
head_detect_seg004,24.0,12,24,0.4167
head_detect_seg004,25.0,13,24,0.5000
head_detect_seg004,26.0,9,24,0.3750
head_detect_seg004,27.0,9,25,0.3600
head_detect_seg004,28.0,11,23,0.4783
head_detect_seg004,29.0,13,26,0.5000
head_detect_seg004,30.0,13,27,0.4815
head_detect_seg004,31.0,13,26,0.4615
head_detect_seg004,32.0,14,24,0.4167
head_detect_seg004,33.0,15,20,0.6000
head_detect_seg004,34.0,12,24,0.4583
head_detect_seg004,35.0,8,26,0.2692
head_detect_seg004,36.0,10,21,0.4762
head_detect_seg004,37.0,14,23,0.6087
head_detect_seg004,38.0,13,23,0.5217
head_detect_seg004,39.0,10,25,0.4000
head_detect_seg004,40.0,10,26,0.3846
head_detect_seg004,41.0,14,23,0.5652
head_detect_seg004,42.0,13,28,0.4286
head_detect_seg004,43.0,14,24,0.5417
head_detect_seg004,44.0,11,24,0.4167
head_detect_seg004,45.0,8,25,0.3200
head_detect_seg004,46.0,14,24,0.5833
head_detect_seg004,47.0,12,23,0.5217
head_detect_seg004,48.0,11,26,0.3846
head_detect_seg004,49.0,11,25,0.4400
head_detect_seg004,50.1,13,26,0.4615
head_detect_seg004,51.1,12,23,0.5217
head_detect_seg004,52.1,9,22,0.4091
head_detect_seg004,53.1,12,22,0.5455
head_detect_seg004,54.1,13,26,0.5000
head_detect_seg004,55.1,12,25,0.4800
head_detect_seg004,56.1,16,25,0.5200
head_detect_seg004,57.1,14,26,0.5385
head_detect_seg004,58.1,12,26,0.4615
head_detect_seg004,59.1,14,29,0.4828
head_detect_seg004,60.1,13,25,0.5200
head_detect_seg004,61.1,9,25,0.3600
head_detect_seg004,62.1,9,27,0.3333
head_detect_seg004,63.1,11,25,0.4000
head_detect_seg004,64.1,11,25,0.4400
head_detect_seg004,65.1,12,26,0.4615
head_detect_seg004,66.1,13,27,0.4815
head_detect_seg004,67.1,15,27,0.5556
head_detect_seg004,68.1,14,27,0.5185
head_detect_seg004,69.1,13,28,0.4643
head_detect_seg004,70.1,17,27,0.5926
head_detect_seg004,71.1,14,27,0.5185
head_detect_seg004,72.1,17,27,0.6296
head_detect_seg004,73.1,17,26,0.6154
head_detect_seg004,74.1,15,25,0.6000
head_detect_seg004,75.1,17,27,0.6296
head_detect_seg004,76.1,18,28,0.6429
head_detect_seg004,77.1,13,30,0.4333
head_detect_seg004,78.1,12,25,0.4400
head_detect_seg004,79.1,17,28,0.5357
head_detect_seg004,80.1,16,27,0.5556
head_detect_seg004,81.1,16,28,0.5357
head_detect_seg004,82.1,12,29,0.4138
head_detect_seg004,83.1,14,27,0.5185
head_detect_seg004,84.1,11,29,0.3448
head_detect_seg004,85.1,12,26,0.4615
head_detect_seg004,86.1,13,26,0.5000
head_detect_seg004,87.1,15,25,0.6000
head_detect_seg004,88.1,15,26,0.5385
head_detect_seg004,89.1,14,25,0.5600
head_detect_seg004,90.1,15,23,0.6522
head_detect_seg004,91.1,14,25,0.5600
head_detect_seg004,92.1,15,23,0.6522
head_detect_seg004,93.1,12,21,0.5714
head_detect_seg004,94.1,12,20,0.5500
head_detect_seg004,95.1,14,26,0.5385
head_detect_seg004,96.1,14,25,0.5600
head_detect_seg004,97.1,14,26,0.5000
head_detect_seg004,98.1,12,27,0.4444
head_detect_seg004,99.1,11,23,0.4783
head_detect_seg004,100.1,9,24,0.3750
head_detect_seg004,101.1,12,25,0.4800
head_detect_seg004,102.1,11,28,0.3571
head_detect_seg004,103.1,12,27,0.4444
head_detect_seg004,104.1,11,27,0.4074
head_detect_seg004,105.1,11,26,0.4231
head_detect_seg004,106.1,10,27,0.3704
head_detect_seg004,107.1,9,25,0.3200
head_detect_seg004,108.1,11,26,0.4231
head_detect_seg004,109.1,13,27,0.4815
head_detect_seg004,110.1,11,23,0.4783
head_detect_seg004,111.1,11,23,0.4348
head_detect_seg004,112.1,10,25,0.4000
head_detect_seg004,113.1,11,23,0.4783
head_detect_seg004,114.1,14,29,0.4483
head_detect_seg004,115.1,16,27,0.5556
head_detect_seg004,116.1,16,26,0.6154
head_detect_seg005,0.0,15,26,0.5769
head_detect_seg005,1.0,18,24,0.7083
head_detect_seg005,2.0,14,25,0.5600
head_detect_seg005,3.0,12,25,0.4800
head_detect_seg005,4.0,14,25,0.5600
head_detect_seg005,5.0,14,24,0.5833
head_detect_seg005,6.0,16,25,0.6000
head_detect_seg005,7.0,17,24,0.7083
head_detect_seg005,8.0,13,23,0.5652
head_detect_seg005,9.0,12,24,0.5000
head_detect_seg005,10.0,13,24,0.5417
head_detect_seg005,11.0,14,23,0.5652
head_detect_seg005,12.0,12,23,0.5217
head_detect_seg005,13.0,16,22,0.6364
head_detect_seg005,14.0,14,21,0.6190
head_detect_seg005,15.0,18,25,0.6800
head_detect_seg005,16.0,14,24,0.5833
head_detect_seg005,17.0,14,25,0.5600
head_detect_seg005,18.0,13,24,0.5417
head_detect_seg005,19.0,13,25,0.4800
head_detect_seg005,20.0,15,28,0.5000
head_detect_seg005,21.0,16,28,0.5000
head_detect_seg005,22.0,15,27,0.5185
head_detect_seg005,23.0,15,30,0.5000
head_detect_seg005,24.0,15,27,0.5556
head_detect_seg005,25.0,15,29,0.5172
head_detect_seg005,26.0,14,29,0.4828
head_detect_seg005,27.0,13,30,0.4333
head_detect_seg005,28.0,13,29,0.4483
